"Markettype","Trdwnt","Cwretmdos"
"79","2000-39","-0.046904"
"85","2000-39","-0.044265"
"95","2000-39","-0.046904"
"101","2000-39","-0.044265"
"111","2000-39","-0.046904"
"117","2000-39","-0.044265"
"127","2000-39","-0.046904"
"33","2000-39","-0.043246"
"20","2000-39","-0.045307"
"5","2000-40","0.010603"
"10","2000-40","0.039010"
"15","2000-40","0.011427"
"21","2000-40","0.010603"
"31","2000-40","0.011427"
"37","2000-40","0.010603"
"47","2000-40","0.011427"
"53","2000-40","0.010603"
"63","2000-40","0.011427"
"69","2000-40","0.010603"
"79","2000-40","0.011427"
"85","2000-40","0.010603"
"95","2000-40","0.011427"
"101","2000-40","0.010603"
"111","2000-40","0.011427"
"117","2000-40","0.010603"
"127","2000-40","0.011427"
"33","2000-40","0.010776"
"20","2000-40","0.010425"
"5","2000-42","0.005309"
"10","2000-42","-0.036778"
"15","2000-42","0.004053"
"21","2000-42","0.005309"
"31","2000-42","0.004053"
"37","2000-42","0.005309"
"47","2000-42","0.004053"
"53","2000-42","0.005309"
"63","2000-42","0.004053"
"69","2000-42","0.005309"
"79","2000-42","0.004053"
"85","2000-42","0.005309"
"95","2000-42","0.004053"
"101","2000-42","0.005309"
"111","2000-42","0.004053"
"117","2000-42","0.005309"
"127","2000-42","0.004053"
"33","2000-42","0.004916"
"20","2000-42","0.005714"
"5","2000-43","0.014813"
"10","2000-43","0.045789"
"15","2000-43","0.015696"
"21","2000-43","0.014813"
"31","2000-43","0.015696"
"37","2000-43","0.014813"
"47","2000-43","0.015696"
"53","2000-43","0.014813"
"63","2000-43","0.015696"
"69","2000-43","0.014813"
"79","2000-43","0.015696"
"85","2000-43","0.014813"
"95","2000-43","0.015696"
"101","2000-43","0.014813"
"111","2000-43","0.015696"
"117","2000-43","0.014813"
"127","2000-43","0.015696"
"33","2000-43","0.015504"
"20","2000-43","0.014099"
"5","2000-44","0.008767"
"10","2000-44","0.076642"
"15","2000-44","0.010753"
"21","2000-44","0.008767"
"31","2000-44","0.010753"
"37","2000-44","0.008767"
"47","2000-44","0.010753"
"53","2000-44","0.008767"
"63","2000-44","0.010753"
"69","2000-44","0.008767"
"79","2000-44","0.010753"
"85","2000-44","0.008767"
"95","2000-44","0.010753"
"101","2000-44","0.008767"
"111","2000-44","0.010753"
"117","2000-44","0.008767"
"127","2000-44","0.010753"
"33","2000-44","0.007617"
"20","2000-44","0.009963"
"5","2000-45","0.004890"
"10","2000-45","0.054877"
"15","2000-45","0.006452"
"21","2000-45","0.004890"
"31","2000-45","0.006452"
"37","2000-45","0.004890"
"47","2000-45","0.006452"
"53","2000-45","0.004890"
"63","2000-45","0.006452"
"69","2000-45","0.004890"
"79","2000-45","0.006452"
"85","2000-45","0.004890"
"95","2000-45","0.006452"
"101","2000-45","0.004890"
"111","2000-45","0.006452"
"117","2000-45","0.004890"
"127","2000-45","0.006452"
"33","2000-45","0.004695"
"20","2000-45","0.005091"
"5","2000-46","0.031005"
"10","2000-46","0.019176"
"15","2000-46","0.030619"
"21","2000-46","0.031005"
"31","2000-46","0.030619"
"37","2000-46","0.031005"
"47","2000-46","0.030619"
"53","2000-46","0.031005"
"63","2000-46","0.030619"
"69","2000-46","0.031005"
"79","2000-46","0.030619"
"85","2000-46","0.031005"
"95","2000-46","0.030619"
"101","2000-46","0.031005"
"111","2000-46","0.030619"
"117","2000-46","0.031005"
"127","2000-46","0.030619"
"33","2000-46","0.032434"
"20","2000-46","0.029518"
"5","2000-47","0.021947"
"10","2000-47","0.016410"
"15","2000-47","0.021770"
"21","2000-47","0.021947"
"31","2000-47","0.021770"
"37","2000-47","0.021947"
"47","2000-47","0.021770"
"53","2000-47","0.021947"
"63","2000-47","0.021770"
"69","2000-47","0.021947"
"79","2000-47","0.021770"
